step,t,total_time,temp,etot,epart
100,0.4949999889358878,0.0009984970092773438,0.49841127003458147,-479.8185850938484,-4.4427646767948925
200,0.9949999777600169,0.0019986629486083984,0.523228256741622,-479.81603736222087,-4.442741086687231
300,1.494999966584146,0.002994060516357422,0.5083424728622656,-479.80286721210206,-4.442619140852797
400,1.9949999554082751,0.003995180130004883,0.547486219460393,-479.7975764928194,-4.442570152711291
500,2.4949999442324042,0.004996061325073242,0.5902703809239429,-479.81325034761886,-4.442715280996471
600,2.9949999330565333,0.0059947967529296875,0.5468739518417232,-479.80141723484996,-4.4426057151375
700,3.4949999218806624,0.006994009017944336,0.5012550856670459,-479.80386491903084,-4.442628378879915
800,3.9949999107047915,0.00799417495727539,0.5740464093242156,-479.8107345395444,-4.442691986477263
900,4.494999899528921,0.008994102478027344,0.6074568316744491,-479.81232203781065,-4.442706685535284
1000,4.99499988835305,0.010994911193847656,0.5772384269895029,-479.7941097951184,-4.442538053658503
1100,5.494999877177179,0.011996269226074219,0.5583024142099491,-479.79844658968705,-4.442578209163769
1200,5.994999866001308,0.012996435165405273,0.5210120394797737,-479.79665719697874,-4.442561640712766
1300,6.494999854825437,0.013997077941894531,0.5100776286920514,-479.8149191212208,-4.442730732603896
1400,6.994999843649566,0.01499485969543457,0.5398988805708227,-479.8040807559173,-4.442630377369604
1500,7.494999832473695,0.015994787216186523,0.5904215049946127,-479.79462566499967,-4.442542830231479
1600,7.994999821297824,0.01699542999267578,0.5560460697757542,-479.8121028558754,-4.44270465607292
1700,8.494999810121953,0.017995595932006836,0.5412948358410258,-479.7929796300237,-4.442527589166886
1800,8.994999798946083,0.019992828369140625,0.5780574758504208,-479.80587809326005,-4.442647019382037
1900,9.494999787770212,0.02099466323852539,0.558933912477303,-479.80866114925135,-4.442672788418994
2000,9.99499977659434,0.021994829177856445,0.5379597492913862,-479.79410373070203,-4.4425379975065
2100,10.49499976541847,0.022993803024291992,0.5855360420683524,-479.8091182496951,-4.4426770208305095
2200,10.994999754242599,0.023993730545043945,0.5402100672889683,-479.79092009865576,-4.442508519431998
2300,11.494999743066728,0.024994850158691406,0.5539575992281373,-479.8085932406757,-4.442672159635886
2400,11.994999731890857,0.025994539260864258,0.5303873622861462,-479.801681141364,-4.442608158716333
2500,12.494999720714986,0.02699422836303711,0.5194889415912217,-479.7995519909312,-4.442588444360474
2600,12.994999709539115,0.02799391746520996,0.5246888830352101,-479.80782657208755,-4.442665060852662
2700,13.494999698363245,0.02899336814880371,0.5365636030043935,-479.79863264489086,-4.4425799318971375
2800,13.994999687187374,0.02999258041381836,0.5372713902973785,-479.8033096244451,-4.442623237263381
2900,14.494999676011503,0.030992507934570312,0.5319645947474704,-479.7971216946851,-4.442565941617454
3000,14.994999664835632,0.03199625015258789,0.5239065439205308,-479.7889771193165,-4.44249052888256
3100,15.494999653659761,0.03299832344055176,0.5591471939960828,-479.8027789465478,-4.442618323579146
3200,15.99499964248389,0.03399848937988281,0.5710222722916737,-479.79811632459786,-4.442575151153684
3300,16.49499963130802,0.035506486892700195,0.6035213945062883,-479.8047628171967,-4.4426366927518215
3400,16.99499962013215,0.03750276565551758,0.5590778624879493,-479.7973038069976,-4.44256762784257
3500,17.494999608956277,0.038503170013427734,0.5626422001588314,-479.799168113613,-4.4425848899408615
3600,17.994999597780406,0.039502859115600586,0.4984661003875412,-479.7668917239893,-4.442286034481382
3700,18.494999586604536,0.04049992561340332,0.5253954156516081,-479.7847258397903,-4.442451165183244
3800,18.994999575428665,0.04150056838989258,0.4944293649736551,-479.77925443001755,-4.442400503981644
3900,19.494999564252794,0.04250144958496094,0.5659957992518792,-479.7878169708305,-4.442479786766949
4000,19.994999553076923,0.043502092361450195,0.6006026787698547,-479.78969452060113,-4.442497171487047
4100,20.494999541901052,0.04450201988220215,0.5828776617283189,-479.78664923329814,-4.44246897438239
4200,20.99499953072518,0.045502424240112305,0.5404812881718735,-479.7867012435487,-4.4424694559587845
4300,21.49499951954931,0.04650425910949707,0.5771961202932557,-479.78787439140365,-4.442480318438923
4400,21.99499950837344,0.04750680923461914,0.5415660644218022,-479.763627828803,-4.442255813229657
4500,22.49499949719757,0.049506187438964844,0.5485566013634237,-479.77163620067,-4.442329964821019
4600,22.994999486021698,0.05050778388977051,0.5716210306589198,-479.77167229078907,-4.442330298988788
4700,23.494999474845827,0.05150794982910156,0.5357675077495502,-479.7745034123776,-4.442356513077571
4800,23.994999463669956,0.052506446838378906,0.535718101067951,-479.779333439689,-4.442401235552676
4900,24.494999452494085,0.05501747131347656,0.528015683462873,-479.759413912825,-4.44221679548912
5000,24.994999441318214,0.05601620674133301,0.5473937234691024,-479.76830154627845,-4.442299088391467
5100,25.494999430142343,0.05701589584350586,0.5718957656121604,-479.7783101783268,-4.442391760910433
5200,25.994999418966472,0.05852341651916504,0.6089913252555348,-479.7846832547764,-4.442450770877559
5300,26.4949994077906,0.06052374839782715,0.5202916325205921,-479.76955332367595,-4.442310678922926
5400,26.99499939661473,0.0615234375,0.5677192354260889,-479.7791153897664,-4.442399216571911
5500,27.49499938543886,0.06252360343933105,0.5218405680105893,-479.7664975557106,-4.4422823847750985
5600,27.99499937426299,0.06352734565734863,0.555036459174748,-479.7610896775834,-4.442232311829476
5700,28.494999363087118,0.06552767753601074,0.5385264229511366,-479.77879386839373,-4.442396239522164
5800,28.994999351911247,0.0665278434753418,0.5548271090064938,-479.7762465058462,-4.442372652831909
5900,29.494999340735376,0.06752848625183105,0.5370276357481376,-479.7523772905151,-4.442151641578843
