frame,oggetto_id,x,y,w,h
105,1,1175,388,158,147
105,2,186,193,142,137
105,3,293,591,157,154
106,1,1171,388,161,150
106,2,188,193,142,137
106,3,292,590,157,154
107,1,1169,390,161,150
107,2,189,195,142,137
107,3,290,589,157,154
108,1,1169,393,158,147
108,2,191,196,142,137
108,3,289,588,157,154
109,1,1167,395,158,147
109,2,192,198,142,137
109,3,288,587,157,154
110,1,1165,396,158,147
110,2,194,199,142,137
110,3,287,586,157,154
111,1,1163,397,158,147
111,2,195,200,142,137
111,3,285,585,157,154
112,1,1161,398,158,147
112,2,196,201,142,137
112,3,285,584,157,154
113,1,1160,399,158,147
113,2,196,202,142,137
113,3,284,583,157,154
114,1,1159,401,158,147
114,2,197,202,142,137
114,3,283,583,157,154
115,1,1158,401,158,147
115,2,198,203,142,137
115,3,282,582,157,154
116,1,1157,402,158,147
116,2,199,204,142,137
116,3,282,582,157,154
117,1,1156,403,158,147
117,2,199,204,142,137
117,3,281,582,157,154
118,1,1155,403,158,147
118,2,199,205,142,137
118,3,281,581,157,154
119,1,1155,404,158,147
119,2,199,205,142,137
119,3,281,581,157,154
120,1,1155,405,158,147
120,2,200,206,142,137
120,3,280,581,157,154
121,1,1154,405,158,147
121,2,201,206,142,137
121,3,281,582,154,151
122,1,1153,405,158,147
122,2,200,206,142,137
122,3,281,581,154,151
123,1,1153,405,158,147
123,2,200,206,142,137
123,3,281,582,154,151
124,1,1153,405,158,147
124,2,200,206,142,137
124,3,281,582,154,151
125,1,1154,405,158,147
125,2,200,206,142,137
125,3,281,581,154,151
126,1,1154,405,158,147
126,2,201,207,142,137
126,3,280,580,157,154
127,1,1154,405,158,147
127,2,200,206,142,137
127,3,281,581,154,151
128,1,1154,405,158,147
128,2,200,206,142,137
128,3,281,581,154,151
129,1,1154,405,158,147
129,2,200,206,142,137
129,3,281,582,154,151
130,1,1154,405,158,147
130,2,200,206,142,137
130,3,281,581,154,151
131,1,1154,405,158,147
131,2,200,206,142,137
131,3,281,581,154,151
132,1,1153,405,158,147
132,2,201,206,142,137
132,3,280,582,154,151
133,1,1154,405,158,147
133,2,201,206,142,137
133,3,281,581,154,151
134,1,1154,405,158,147
134,2,200,206,142,137
134,3,281,582,154,151
135,1,1154,405,158,147
135,2,200,206,142,137
135,3,281,581,154,151
136,1,1154,405,158,147
136,2,200,206,142,137
136,3,281,581,154,151
137,1,1153,405,158,147
137,2,200,206,142,137
137,3,281,581,154,151
138,1,1154,405,158,147
138,2,200,206,142,137
138,3,281,582,154,151
139,1,1154,405,158,147
139,2,201,207,142,137
139,3,281,581,154,151
140,1,1154,405,158,147
140,2,201,206,142,137
140,3,280,581,154,151
141,1,1154,405,158,147
141,2,201,206,142,137
141,3,280,581,154,151
142,1,1154,405,158,147
142,2,200,206,142,137
142,3,280,581,154,151
143,1,1154,405,158,147
143,2,200,206,142,137
143,3,280,581,154,151
144,1,1153,405,158,147
144,2,200,207,142,137
144,3,280,582,154,151
145,1,1154,405,158,147
145,2,200,206,142,137
145,3,281,581,154,151
146,1,1154,405,158,147
146,2,200,207,142,137
146,3,281,581,154,151
147,1,1153,405,158,147
147,2,200,206,142,137
147,3,280,581,154,151
148,1,1154,405,158,147
148,2,200,206,142,137
148,3,280,581,154,151
149,1,1154,405,158,147
149,2,200,206,142,137
149,3,280,581,154,151
150,1,1154,405,158,147
150,2,200,207,142,137
150,3,280,581,154,151
151,1,1154,405,158,147
151,2,200,206,142,137
151,3,280,581,154,151
152,1,1154,405,158,147
152,2,200,206,142,137
152,3,280,581,154,151
153,1,1154,405,158,147
153,2,200,207,142,137
153,3,280,581,154,151
154,1,1154,405,158,147
154,2,200,206,142,137
154,3,280,581,154,151
155,1,1153,405,158,147
155,2,200,206,142,137
155,3,280,581,154,151
156,1,1154,405,158,147
156,2,200,207,142,137
156,3,280,581,154,151
157,1,1154,405,158,147
157,2,201,207,142,137
157,3,282,582,154,151
158,1,1152,403,158,147
158,2,203,207,142,137
158,3,287,581,154,151
159,1,1151,400,158,147
159,2,204,207,142,137
159,3,296,581,154,151
160,1,1150,396,158,147
160,2,206,208,142,137
160,3,307,582,154,151
161,1,1148,390,158,147
161,2,209,208,142,137
161,3,320,581,154,151
162,1,1147,386,158,147
162,2,213,208,142,137
162,3,335,582,154,151
163,1,1145,379,158,147
163,2,218,210,142,137
163,3,353,582,154,151
164,1,1141,372,158,147
164,2,222,210,142,137
164,3,373,583,154,151
165,1,1139,364,158,147
165,2,227,212,142,137
165,3,393,582,154,151
166,1,1137,357,158,147
166,2,232,212,142,137
166,3,413,584,154,151
167,1,1133,350,158,147
167,2,237,213,142,137
167,3,435,583,154,151
168,1,1130,340,158,147
168,2,243,214,142,137
168,3,458,584,154,151
